# code name : Parallel Tempering for 2D Ferromagnetic Ising Model
# author : Andrew Noble
# version : v0.1
# inspired by : Prof. Helmut Katzgraber

# system size : 20
# number of spins : 400
# space dimension : 2
# lattice coordination number : 4
# process ID : 12523
# hostname : Andrews-MacBook-Pro-4.local
# job start : Sun Mar  1 23:14:55 2020

# temperature set
# | 0.10
# | 0.13
# | 0.16
# | 0.20
# | 0.25
# | 0.32
# | 0.40
# | 0.50
# | 0.63
# | 0.79
# | 1.00
# | 1.26
# | 1.58
# | 2.00
# | 2.51
# | 3.16
# | 3.98
# | 5.01
# | 6.31
# | 7.94
# | 10.00

# T MCS <energy> <m>
7.9400 11000 -0.1000 0.0350
10.0000 11000 -0.1800 0.0600

0.1000 12000 -2.0000 1.0000
0.1300 12000 -2.0000 1.0000
0.1600 12000 -2.0000 1.0000
0.2000 12000 -2.0000 1.0000
0.2500 12000 -2.0000 1.0000
0.3200 12000 -2.0000 1.0000
0.4000 12000 -2.0000 1.0000
0.5000 12000 -2.0000 1.0000
0.6300 12000 -2.0000 1.0000
0.7900 12000 -2.0000 1.0000
1.0000 12000 -2.0000 1.0000
1.2600 12000 -2.0000 1.0000
1.5800 12000 -1.9600 0.9900
2.0000 12000 -1.8100 0.9350
2.5100 12000 -1.1000 0.3900
3.1600 12000 -0.7700 0.0500
3.9800 12000 -0.4700 0.0350
5.0100 12000 -0.5000 0.0400
6.3100 12000 -0.4400 0.0850
7.9400 12000 -0.3300 0.0400
10.0000 12000 -0.2600 0.0100

0.1000 13000 -2.0000 1.0000
0.1300 13000 -2.0000 1.0000
0.1600 13000 -2.0000 1.0000
0.2000 13000 -2.0000 1.0000
0.2500 13000 -2.0000 1.0000
0.3200 13000 -2.0000 1.0000
0.4000 13000 -2.0000 1.0000
0.5000 13000 -2.0000 1.0000
0.6300 13000 -2.0000 1.0000
0.7900 13000 -2.0000 1.0000
1.0000 13000 -2.0000 1.0000
1.2600 13000 -1.9800 0.9950
1.5800 13000 -1.9500 0.9850
2.0000 13000 -1.7600 0.9250
2.5100 13000 -1.2000 0.5700
3.1600 13000 -0.7000 0.1100
3.9800 13000 -0.4100 0.1250
5.0100 13000 -0.4500 0.0450
6.3100 13000 -0.3500 0.0400
7.9400 13000 -0.2100 0.0050
10.0000 13000 -0.1400 0.0650

0.1000 14000 -2.0000 1.0000
0.1300 14000 -2.0000 1.0000
0.1600 14000 -2.0000 1.0000
0.2000 14000 -2.0000 1.0000
0.2500 14000 -2.0000 1.0000
0.3200 14000 -2.0000 1.0000
0.4000 14000 -2.0000 1.0000
0.5000 14000 -2.0000 1.0000
0.6300 14000 -2.0000 1.0000
0.7900 14000 -2.0000 1.0000
1.0000 14000 -2.0000 1.0000
1.2600 14000 -2.0000 1.0000
1.5800 14000 -1.9500 0.9850
2.0000 14000 -1.8700 0.9550
2.5100 14000 -1.1800 0.2250
3.1600 14000 -0.9700 0.0700
3.9800 14000 -0.5000 0.1000
5.0100 14000 -0.5400 0.0450
6.3100 14000 -0.3800 0.0500
7.9400 14000 -0.3700 0.1000
10.0000 14000 -0.2400 0.0700

0.1000 15000 -2.0000 1.0000
0.1300 15000 -2.0000 1.0000
0.1600 15000 -2.0000 1.0000
0.2000 15000 -2.0000 1.0000
0.2500 15000 -2.0000 1.0000
0.3200 15000 -2.0000 1.0000
0.4000 15000 -2.0000 1.0000
0.5000 15000 -2.0000 1.0000
0.6300 15000 -2.0000 1.0000
0.7900 15000 -2.0000 1.0000
